City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Jiaonan,CN,69.8,scattered clouds,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
363,Faya,SA,69.8,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
365,Upata,VE,75.99,scattered clouds,8.0086,-62.3989,Posada Villa Nela
368,San Policarpo,PH,80.47,scattered clouds,12.1791,125.5072,JM Lodge
369,Hobyo,SO,85.35,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
380,Ginda,IN,73.08,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
382,Bam,IR,86.0,broken clouds,29.106,58.357,Bam Tourist Hotel
383,Cabedelo,BR,73.4,clear sky,-6.9811,-34.8339,Hotel Pigalle
387,Dubbo,AU,69.8,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
394,Gurlan,UZ,69.8,clear sky,41.8447,60.3919,ÒJIQ OVUL
397,Coruripe,BR,76.26,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
398,Salinopolis,BR,78.21,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
402,Bartica,GY,75.2,broken clouds,6.4,-58.6167,Relax Inn Hotel
404,San Patricio,US,75.2,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
405,Acapulco,MX,78.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
406,Taxisco,GT,77.0,scattered clouds,14.0708,-90.4631,HOSTAL LAS MARIAS
408,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
409,Sechura,PE,69.28,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
411,Puerto Castilla,HN,82.4,clear sky,16.0167,-85.9667,"Santa Fe, Colon"
416,Dawei,MM,89.1,overcast clouds,14.0833,98.2,Hotel Dawei
417,Nabire,ID,80.26,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
419,Conde,BR,73.4,clear sky,-7.2597,-34.9075,Pousada Beija Flor
420,Komsomolskiy,UZ,71.6,clear sky,40.4272,71.7189,Ikathouse
423,Port Lincoln,AU,65.17,clear sky,-34.7333,135.8667,Port Lincoln Hotel
427,Dodoma,TZ,68.0,scattered clouds,-6.1722,35.7395,Royal Village Hotel
429,Miragoane,HT,76.96,few clouds,18.4423,-73.0876,MMM K-TICHON
430,Broken Hill,AU,69.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
431,Huarmey,PE,66.94,clear sky,-10.0681,-78.1522,Hotel Miramar
432,Namibe,AO,76.5,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
433,Kalmunai,LK,86.58,few clouds,7.4167,81.8167,VS Villa
434,Sao Joao Da Barra,BR,69.35,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
439,Itoman,JP,77.0,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
440,Vao,NC,73.83,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
441,Koumac,NC,77.97,overcast clouds,-20.5667,164.2833,Le Monitel
442,Itarana,BR,67.75,few clouds,-19.8739,-40.8753,Hotel Aline
444,Hambantota,LK,87.8,scattered clouds,6.1241,81.1185,Bungalow 63
448,Ormara,PK,81.95,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
450,Monrovia,LR,77.43,overcast clouds,6.3005,-10.7969,Sunset Inn
453,Karratha,AU,88.95,clear sky,-20.7377,116.8463,ibis Styles Karratha
455,Massaguet,TD,82.4,scattered clouds,12.4755,15.4365,Alwatane
459,Fukue,JP,69.8,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
460,Sambava,MG,77.29,moderate rain,-14.2667,50.1667,Melrose
462,Bodden Town,KY,80.01,broken clouds,19.2833,-81.25,Will T Place
466,Isangel,VU,78.96,overcast clouds,-19.55,169.2667,Tanna Lodge
467,Piacabucu,BR,76.19,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
468,Tanete,ID,94.08,clear sky,-3.9443,119.7848,Wisma Tri Multi
469,Aswan,EG,81.95,clear sky,24.0934,32.907,Nuba Nile
470,Niteroi,BR,71.6,overcast clouds,-22.8833,-43.1036,Guesthouse
475,Bull Savanna,JM,72.68,scattered clouds,17.8868,-77.5902,Big Red's
477,Cidreira,BR,67.59,overcast clouds,-30.1811,-50.2056,Hotel Castelo
481,Lethem,GY,74.28,light rain,3.3803,-59.7968,Savannah Inn
483,Grand Gaube,MU,81.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
