,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Mount Gambier,AU,-37.8333,140.7667,60.8,72,75,13.8,broken clouds
126,Tabou,CI,4.423,-7.3528,78.58,87,100,5.84,moderate rain
127,Lata,PT,40.1629,-8.3327,60.01,94,86,3.6,light rain
128,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,20,10.36,few clouds
129,Madang,PG,-5.2246,145.7966,85.28,63,73,5.48,broken clouds
130,Cam Ranh,VN,11.9214,109.1591,91.4,58,20,8.05,few clouds
131,Natal,BR,-5.795,-35.2094,75.2,94,40,27.63,scattered clouds
132,Kudahuvadhoo,MV,2.6708,72.8944,83.44,67,13,7.72,few clouds
133,Mahajanga,MG,-15.7167,46.3167,80.6,69,20,5.75,few clouds
134,Katsuura,JP,35.1333,140.3,72.0,53,75,14.97,broken clouds
135,Ambatondrazaka,MG,-17.8333,48.4167,68.74,83,99,8.12,overcast clouds
136,Tura,IN,25.5198,90.2201,96.24,17,1,6.44,clear sky
137,Touros,BR,-5.1989,-35.4608,73.4,100,40,4.61,scattered clouds
138,Setermoen,NO,68.861,18.3486,28.4,69,90,2.3,overcast clouds
139,Khani,GE,41.9563,42.9566,51.8,93,20,2.3,few clouds
140,Wolgast,DE,54.05,13.7667,41.0,73,2,1.99,clear sky
141,Castro,BR,-24.7911,-50.0119,57.6,84,90,2.46,overcast clouds
142,Salalah,OM,17.0151,54.0924,86.0,70,75,5.75,broken clouds
143,Vaini,TO,-21.2,-175.2,80.6,83,20,3.44,few clouds
144,La Asuncion,VE,11.0333,-63.8628,77.0,88,37,17.27,scattered clouds
145,Shelburne,CA,44.0787,-80.2041,53.6,61,90,2.3,overcast clouds
146,Dingle,PH,10.9995,122.6711,89.42,54,75,6.98,light rain
147,Fare,PF,-16.7,-151.0167,79.34,64,96,2.28,overcast clouds
148,Vardo,NO,70.3705,31.1107,35.19,72,100,22.66,overcast clouds
149,Aklavik,CA,68.2191,-135.0107,30.2,80,33,8.05,scattered clouds
150,Waipawa,NZ,-41.4122,175.5153,60.8,55,38,13.8,scattered clouds
151,Muros,ES,42.7762,-9.0603,55.0,95,98,1.99,light rain
152,Buala,SB,-8.145,159.5921,83.98,73,55,1.83,light rain
153,Nyurba,RU,63.2842,118.3319,40.33,75,100,7.85,overcast clouds
154,Havelock,US,34.8791,-76.9013,66.99,87,100,1.01,overcast clouds
155,Yemanzhelinsk,RU,54.7547,61.3208,50.0,46,20,6.71,few clouds
156,Fairbanks,US,64.8378,-147.7164,57.2,30,1,4.61,clear sky
157,Baruun-Urt,MN,46.6806,113.2792,65.98,28,100,16.31,overcast clouds
158,Lazaro Cardenas,MX,17.9583,-102.2,76.01,79,93,2.13,overcast clouds
159,Kamenka,RU,51.3223,42.7678,41.0,73,7,3.0,clear sky
160,Tahta,EG,26.7693,31.5021,66.2,32,0,6.91,clear sky
161,Bensonville,LR,6.4461,-10.6125,74.1,92,100,3.98,overcast clouds
162,Saint-Pierre,RE,-21.3393,55.4781,81.0,69,0,28.77,clear sky
163,Santa Marta,CO,11.2408,-74.199,82.0,76,12,5.99,few clouds
164,Atherton,GB,53.5237,-2.4935,41.0,71,7,4.21,clear sky
165,Sao Filipe,CV,14.8961,-24.4956,71.28,72,17,6.49,few clouds
166,Dhidhdhoo,MV,6.8833,73.1,84.33,68,62,4.07,broken clouds
167,Haines Junction,CA,60.7522,-137.5108,39.2,52,45,3.15,scattered clouds
168,Solano,US,38.2333,-121.9511,55.4,71,40,14.97,scattered clouds
169,Kloulklubed,PW,7.0419,134.2556,87.8,70,75,17.27,broken clouds
170,Khandyga,RU,62.6667,135.6,28.83,79,100,1.01,overcast clouds
171,Solnechnyy,RU,50.7214,136.6319,37.15,34,98,9.44,overcast clouds
172,Santa Rosa,PH,14.3122,121.1114,91.0,36,34,4.0,scattered clouds
173,Cabog,PH,15.3153,121.3703,90.18,49,15,3.67,few clouds
174,Leningradskiy,RU,69.3833,178.4167,31.37,85,98,1.01,overcast clouds
175,Bubaque,GW,11.2833,-15.8333,78.06,59,4,15.12,clear sky
176,Vestmanna,FO,62.1564,-7.1664,41.0,87,98,1.14,overcast clouds
