City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
284,Buckeye,0,US,2021-04-20 23:41:19,8,33.3703,-112.5838,95.0,13.8
285,Luwuk,95,ID,2021-04-20 23:41:19,75,-0.9516,122.7875,81.86,3.29
286,Odweyne,77,SO,2021-04-20 23:41:20,47,9.4092,45.064,75.67,4.21
287,Inongo,86,CD,2021-04-20 23:41:20,95,-1.95,18.2667,72.88,5.5
288,Ahipara,16,NZ,2021-04-20 23:41:21,76,-35.1667,173.1667,68.05,7.49
289,Ribeira Grande,100,PT,2021-04-20 23:41:21,91,38.5167,-28.7,62.19,13.96
290,Zhigansk,82,RU,2021-04-20 23:41:22,89,66.7697,123.3711,7.56,4.83
291,Lieksa,68,FI,2021-04-20 23:41:22,88,63.3167,30.0167,31.15,4.99
292,Nabire,100,ID,2021-04-20 23:41:23,81,-3.3667,135.4833,80.78,0.65
293,Los Llanos De Aridane,0,ES,2021-04-20 23:41:23,68,28.6585,-17.9182,66.2,6.91
294,Palmer,75,US,2021-04-20 23:41:24,32,42.1584,-72.3287,68.0,8.05
295,Riyadh,0,SA,2021-04-20 23:39:42,23,24.6877,46.7219,77.0,2.66
296,Macenta,84,GN,2021-04-20 23:41:24,97,8.5435,-9.471,69.66,2.04
297,Bathsheba,20,BB,2021-04-20 23:41:26,61,13.2167,-59.5167,78.8,18.41
298,Chuy,3,UY,2021-04-20 23:41:26,82,-33.6971,-53.4616,65.53,11.1
299,Bengkulu,44,ID,2021-04-20 23:41:27,87,-3.8004,102.2655,76.26,3.85
300,Planadas,71,CO,2021-04-20 23:41:27,90,3.197,-75.6451,68.0,3.42
301,Mehamn,70,NO,2021-04-20 23:41:28,79,71.0357,27.8492,40.98,17.58
302,Santa Isabel,20,BR,2021-04-20 23:41:28,82,-23.3156,-46.2214,64.4,6.91
303,Carora,27,VE,2021-04-20 23:41:29,51,10.1755,-70.0827,80.74,11.81
304,Verkhnevilyuysk,99,RU,2021-04-20 23:41:29,86,63.4453,120.3167,13.64,2.06
305,Avera,1,US,2021-04-20 23:41:30,60,33.194,-82.5271,71.6,4.61
306,Maniitsoq,75,GL,2021-04-20 23:41:30,83,65.4167,-52.9,23.05,9.01
307,Ahvaz,0,IR,2021-04-20 23:41:31,43,31.3203,48.6693,75.2,2.3
308,Vestmannaeyjar,25,IS,2021-04-20 23:41:31,68,63.4427,-20.2734,40.08,6.71
309,Ojinaga,1,MX,2021-04-20 23:41:32,10,29.5667,-104.4167,82.4,4.18
310,San Patricio,20,US,2021-04-20 23:41:33,60,28.017,-97.5169,77.0,12.66
311,Vallenar,0,CL,2021-04-20 23:41:33,70,-28.5708,-70.7581,59.07,1.7
312,Salinas,90,US,2021-04-20 23:37:05,71,36.6777,-121.6555,55.4,17.27
313,Ponazyrevo,60,RU,2021-04-20 23:41:34,62,58.3578,46.3142,34.45,10.29
314,Lata,75,PT,2021-04-20 23:41:34,89,40.1629,-8.3327,54.0,1.01
315,Halifax,20,CA,2021-04-20 23:37:46,81,44.6453,-63.5724,53.01,5.57
316,Igrim,91,RU,2021-04-20 23:41:35,95,63.1906,64.4162,29.95,2.75
